fuente,baseline,feature,n_fuente,n_baseline,ks_D,ks_p,ks_D_submuestra,js_distance,wasserstein,wasserstein_norm,mediana_fuente,mediana_baseline
ours_regular,baseline_interno,duration_s,29702,24354,0.024122018776234377,3.3878191883298177e-07,0.04490000000000001,0.057044628970974495,1.439854138758383,0.05081879823628424,0.047594,0.048658999999999994
ours_regular,baseline_interno,packets,29702,24354,0.022410990092397776,2.858085715319712e-06,0.04155,0.05903318893190692,2.6073172567578395,0.01047543831055727,4.0,2.0
ours_regular,baseline_interno,bytes_payload,29702,24354,0.04631497710965132,2.2024922273918414e-25,0.058600000000000006,0.06812639896454832,2341.9391492185273,0.008999796783539215,126.0,135.0
ours_regular,baseline_interno,pkt_size_mean_payload,29702,24354,0.0643798309768081,1.154046498394856e-48,0.07834999999999999,0.08218625616368899,10.053020009212364,0.0436205772775094,14.527999999999999,17.6
ours_regular,baseline_interno,packets_per_s,29702,24354,0.025575533422586505,4.893830138498552e-08,0.04555,0.0631781060431481,22.987666680195762,0.01313363983805541,0.4729855,0.6666405
ours_regular,baseline_interno,bytes_per_s_payload,29702,24354,0.02843563465415322,7.810961576060898e-10,0.04945,0.046277097044158756,4994.261506476998,0.024515386699385,113.9724205,143.2089255
ours_regular,baseline_interno,syn_count,29702,24354,0.04767430937960637,7.178607374808439e-27,0.045749999999999964,0.06389908038514826,0.08580744690738096,0.09036618812213464,0.0,0.0
ours_regular,baseline_interno,psh_count,29702,24354,0.036947259091288154,2.62176359196256e-16,0.042849999999999965,0.042308568780088325,0.7652016601337237,0.010664134178617394,0.0,0.0
ours_regular,baseline_interno,ack_count,29702,24354,0.06602115740286613,3.709326599919667e-51,0.07155,0.06485751669215442,1.945263873145197,0.0086598722349563,1.0,1.0
ours_regular,baseline_interno,fin_count,29702,24354,0.035831785188402465,2.3072033959771268e-15,0.04194999999999996,0.03374739535438664,0.06504523178854071,0.07168966427721805,0.0,0.0
ours_regular,baseline_interno,rst_count,29702,24354,0.008852927721822113,0.24361039838314147,0.010449999999999965,0.0,0.008852927721822113,0.03902469845310728,0.0,0.0
ours_regular,baseline_interno,dst_port,29702,24354,0.02140940376191025,9.26015622023849e-06,0.027200000000000012,0.03301185097896064,480.52910630529783,0.043485427108573685,53.0,53.0
ours_regular,baseline_script,duration_s,29702,4357,0.2865272741285801,1.2125525889046395e-276,0.28595000000000004,0.44446779753159404,3.7606172475412314,0.14083264884856778,0.047594,0.190174
ours_regular,baseline_script,packets,29702,4357,0.22408022822433848,4.1023413257546277e-168,0.2223,0.41506247005243146,109.72248963682628,0.20391686773933917,4.0,2.0
