idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T01:47:29.417707+02:00,rule_run07,rule,1007,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,9,89.6,,,,
2,2026-07-11T01:49:08.923651+02:00,rule_run07,rule,1007,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,13,6.06,,,,
3,2026-07-11T01:49:29.922331+02:00,rule_run07,rule,1007,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,17,35.79,,,,
4,2026-07-11T01:50:23.889353+02:00,rule_run07,rule,1007,revisar_correo,{},rule,ok,,fallo,ver session.log,13,53.65,,,,
5,2026-07-11T01:51:33.487744+02:00,rule_run07,rule,1007,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,15,58.29,,,,
6,2026-07-11T01:52:47.541441+02:00,rule_run07,rule,1007,usar_twitter,{},rule,ok,,ok,,24,14.35,,,,
7,2026-07-11T01:53:26.177787+02:00,rule_run07,rule,1007,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,9,105.93,,,,
8,2026-07-11T01:55:23.747933+02:00,rule_run07,rule,1007,ver_streaming,{},rule,ok,,ok,,14,36.8,,,,
9,2026-07-11T01:56:17.281753+02:00,rule_run07,rule,1007,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,25,78.12,,,,
10,2026-07-11T01:58:02.126269+02:00,rule_run07,rule,1007,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,9,6.08,,,,
11,2026-07-11T01:58:17.440574+02:00,rule_run07,rule,1007,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,22,34.42,,,,
12,2026-07-11T01:59:16.375337+02:00,rule_run07,rule,1007,revisar_correo,{},rule,ok,,fallo,ver session.log,17,51.15,,,,
13,2026-07-11T02:00:28.045826+02:00,rule_run07,rule,1007,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,9,60.56,,,,
14,2026-07-11T02:01:39.588433+02:00,rule_run07,rule,1007,usar_twitter,{},rule,ok,,ok,,9,14.21,,,,
15,2026-07-11T02:02:04.615066+02:00,rule_run07,rule,1007,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,21,104.17,,,,
