run_id,planner,run_dir,seed,status,inicio,duracion_solicitada_s,duracion_real_s,commit,n_errores,acc_emitidas,acc_validas,acc_rechazadas_validacion,acc_llm_intentos_rechazados,acc_fallbacks,acc_ejecutadas_ok,acc_ejecutadas_fallo,tasa_acciones_validas,fallback_rate,tasa_exec_ok,n_tipos_distintos,entropia_tipos,tasa_repeticion_inmediata,ratio_bigramas_unicos,packets,bytes,mbytes,traffic_duration_s,flows_total,unique_dst_ips,entropy_dst_ips,unique_dns_domains,entropy_dns_domains,pkts_tcp,pkts_udp,pkts_dns,pkts_http,pkts_https,pkts_quic,flow_duration_s_mean,flow_duration_s_median,flow_duration_s_p95,flow_bytes_mean,flow_bytes_median,flow_bytes_p95,flow_packets_mean,flow_packets_median,flow_packets_p95,packet_size_mean,packet_size_median,packet_size_p95,packet_iat_s_mean,packet_iat_s_median,packet_iat_s_p95
random_run01,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_01,1001,completed,2026-07-10T20:45:04.660574+02:00,900,946.6,8a1ef84052a2,0,20,20,0,0,0,18,2,1.0,0.0,0.9,6,2.3589,0.1579,0.7368,84952,63307456,63.31,949.539,3444,259,2.8561,40,4.7074,48841,35725,9126,0,40144,34888,39.21467644903856,0.07011950016021729,240.68657618761063,18376.691056910568,382.0,18545.84999999996,24.55458768873403,6.0,48.0,745.2144269705245,546.0,1466.0,0.011177495153704881,3.1948089599609375e-05,0.0208280086517334
random_run02,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_02,1002,completed,2026-07-10T21:32:51.547386+02:00,900,900.2,8a1ef84052a2,0,14,14,0,0,0,13,1,1.0,0.0,0.9286,6,2.3788,0.0769,0.7692,66703,49552181,49.55,902.774,2573,216,2.6564,36,4.4667,30529,36084,5989,1244,23725,35239,24.765400929716,0.06394505500793457,170.33143367767335,19255.652157015156,381.0,15514.000000000016,25.889234356781966,6.0,39.0,742.8778465736174,611.0,1466.0,0.013534442473628854,3.504753112792969e-05,0.027824330329894988
random_run03,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_03,1003,completed,2026-07-10T22:20:20.039480+02:00,900,955.1,8a1ef84052a2,0,15,15,0,0,0,11,4,1.0,0.0,0.7333,5,2.2566,0.1429,0.9286,67419,49086809,49.09,957.479,2821,223,2.7769,30,3.876,31650,35721,6405,43,25697,34807,33.137786582022514,0.06156778335571289,240.14921712875366,17399.36653668912,380.0,14801.0,23.881956752924495,6.0,36.0,728.0856880107981,481.0,1466.0,0.014202125692980062,3.1948089599609375e-05,0.025872588157653628
random_run04,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_04,1004,completed,2026-07-10T23:09:11.235745+02:00,900,901.0,8a1ef84052a2,0,12,12,0,0,0,10,2,1.0,0.0,0.8333,5,2.0546,0.2727,0.8182,50895,40002853,40.0,903.58,2218,179,2.7876,27,3.7419,22036,28794,3969,0,18663,27797,19.47439472260402,0.0670090913772583,115.4005813241005,18033.528854824166,380.0,15402.100000000004,22.917042380522993,6.0,35.15000000000009,785.9878770016701,1288.0,1466.0,0.017754159920172603,4.00543212890625e-05,0.02106850147247313
random_run05,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_05,1005,completed,2026-07-10T23:56:48.486522+02:00,900,929.2,8a1ef84052a2,0,14,14,0,0,0,12,2,1.0,0.0,0.8571,5,2.2099,0.1538,0.8462,51203,41495229,41.5,932.154,2131,134,2.5631,29,3.9748,20115,31050,2969,11,17828,29956,20.635197112505452,0.05044889450073242,105.66127347946167,19470.953073674333,367.0,18473.5,24.009854528390427,5.0,38.0,810.4062066675781,1285.0,1466.0,0.018205421957428216,1.9073486328125e-05,0.021850049495697018
random_run06,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_06,1006,completed,2026-07-11T00:43:52.562784+02:00,900,903.7,8a1ef84052a2,0,17,17,0,0,0,12,5,1.0,0.0,0.7059,6,2.4922,0.3125,0.8125,64572,47090754,47.09,906.029,3415,256,3.0321,63,4.6419,37954,26544,5809,15,33185,25100,31.66516226270014,0.05398392677307129,240.23179190158845,13787.90336749634,372.0,14613.3,18.88667642752562,5.0,37.0,729.2751347333209,329.0,1466.0,0.014031508540810313,4.506111145019531e-05,0.021546363830566406
random_run07,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_07,1007,completed,2026-07-11T01:31:49.558744+02:00,900,901.5,8a1ef84052a2,0,12,12,0,0,0,11,1,1.0,0.0,0.9167,6,2.4183,0.0909,0.9091,50960,39297451,39.3,902.06,2496,193,2.8112,62,5.1273,21696,29202,3052,0,19628,27834,27.157557846930548,0.04209005832672119,177.61522722244263,15742.45953525641,366.0,16395.75,20.391826923076923,5.0,39.25,771.1430729984302,1117.0,1466.0,0.017701681429555815,3.3855438232421875e-05,0.019041442871093744
random_run08,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_08,1008,completed,2026-07-11T02:19:49.784181+02:00,900,1011.2,8a1ef84052a2,0,13,13,0,0,0,13,0,1.0,0.0,1.0,5,2.2578,0.1667,0.75,68532,49905235,49.91,1014.058,3330,292,2.9797,39,4.6853,32713,35790,9052,10,23920,35106,25.751188511963004,0.06685948371887207,109.91654326915739,14985.931831831831,391.0,17959.649999999976,20.571471471471472,6.0,39.0,728.2033940349035,584.0,1466.0,0.014797069996095712,3.1948089599609375e-05,0.014652013778686523
random_run09,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_09,1009,completed,2026-07-11T03:09:56.984805+02:00,900,922.4,8a1ef84052a2,0,16,16,0,0,0,14,2,1.0,0.0,0.875,5,2.1556,0.1333,0.8,64822,44869679,44.87,924.889,3514,296,3.0852,90,5.6557,40210,24544,7192,10,33932,23220,26.600941841617253,0.06364846229553223,153.5642517209053,12767.436254980079,380.0,12810.349999999999,18.42743312464428,6.0,31.0,692.1983123013791,210.0,1466.0,0.014268348468629804,4.696846008300781e-05,0.020751953125
random_run10,random,C:\Users\juanc\Desktop\tfm\exp1\random\run_10,1010,completed,2026-07-11T03:57:25.995417+02:00,900,933.2,8a1ef84052a2,0,17,17,0,0,0,14,3,1.0,0.0,0.8235,6,2.4692,0.125,0.9375,54463,36810857,36.81,935.161,2756,185,2.9302,26,3.8671,30115,24312,6709,0,23768,23553,31.133586402814863,0.06792497634887695,240.15762650966644,13355.772496371554,381.0,14036.5,19.74854862119013,6.0,35.0,675.8874281622386,199.0,1466.0,0.01717089623894642,5.2928924560546875e-05,0.02410967350006101
rule_run01,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_01,1001,completed,2026-07-10T21:01:28.137562+02:00,900,903.5,8a1ef84052a2,0,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,60201,40826520,40.83,905.942,3416,301,3.1981,65,5.5492,39926,20149,8156,0,32359,19161,32.73605630101867,0.06063055992126465,175.1513141989708,11949.46018735363,382.0,13731.5,17.586358313817332,6.0,38.0,678.1701300642846,174.0,1466.0,0.015048869301710415,4.887580871582031e-05,0.020337831974029538
rule_run02,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_02,1002,completed,2026-07-10T21:48:24.419900+02:00,900,950.0,8a1ef84052a2,0,16,16,0,0,0,14,2,1.0,0.0,0.875,6,2.5,0.0,0.5333,53961,38896244,38.9,952.955,2690,209,2.9159,35,4.5886,32166,21737,6818,3896,21751,21025,24.94263377801193,0.06551253795623779,149.30758833885193,14458.15092936803,383.0,13215.049999999981,20.038289962825278,6.0,32.0,720.8214080539649,333.0,1466.0,0.017660394905230307,4.38690185546875e-05,0.022227549552917433
rule_run03,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_03,1003,completed,2026-07-10T22:36:47.787378+02:00,900,981.8,8a1ef84052a2,0,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,59628,39724307,39.72,984.595,3461,311,3.2397,39,4.4755,40118,19460,8667,42,31797,18639,35.37278584130614,0.062082767486572266,240.38825106620789,11476.691996532794,386.0,13894.0,17.214099971106616,6.0,35.0,666.2022372039982,163.0,1466.0,0.01651257024529551,5.0067901611328125e-05,0.022322487831115716
rule_run04,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_04,1004,completed,2026-07-10T23:24:41.176731+02:00,900,907.3,8a1ef84052a2,1,16,16,0,0,0,14,2,1.0,0.0,0.875,6,2.5,0.0,0.5333,63685,40904827,40.9,910.264,3790,336,3.2295,38,4.3241,41173,22442,11270,62,30088,21799,36.616481397334375,0.07287251949310303,240.1451619744301,10791.31820580475,397.0,12680.399999999992,16.78496042216359,6.0,30.549999999999727,642.2992384391929,130.0,1466.0,0.014293452044032295,5.698204040527344e-05,0.020304632186889646
rule_run05,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_05,1005,completed,2026-07-11T00:12:47.095222+02:00,900,910.6,8a1ef84052a2,0,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,52306,35195622,35.2,908.504,3227,244,3.1606,55,4.6194,32305,19958,6716,0,26421,18730,27.441952233274616,0.06471920013427734,170.4448061943054,10905.704369383328,380.0,12734.099999999999,16.195537651069106,6.0,32.0,672.8792490345276,174.0,1466.0,0.01736935757391882,5.602836608886719e-05,0.02412605285644521
rule_run06,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_06,1006,completed,2026-07-11T00:59:28.444623+02:00,900,940.1,8a1ef84052a2,0,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,63910,41278204,41.28,941.71,3993,330,3.2844,70,5.3445,42671,21192,10146,0,33062,20241,34.8300856384991,0.0694570541381836,240.4416128635406,10336.683696468821,384.0,12927.399999999989,15.99373904332582,6.0,32.0,645.8802065404475,128.0,1466.0,0.01473517032089607,5.5789947509765625e-05,0.020689153671264643
rule_run07,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_07,1007,completed,2026-07-11T01:47:19.566593+02:00,900,985.5,8a1ef84052a2,0,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,65261,37024419,37.02,988.132,4191,341,3.3915,54,5.2367,42437,22783,11869,18,30971,21941,36.844598400424985,0.06708407402038574,240.12811601161957,8833.454545454546,389.0,13082.0,15.561918396564066,6.0,31.0,567.32840440692,92.0,1466.0,0.015141468646516838,7.414817810058594e-05,0.029536461830139117
rule_run08,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_08,1008,completed,2026-07-11T02:37:15.493460+02:00,900,998.3,8a1ef84052a2,0,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,59929,39033771,39.03,1000.814,3693,298,3.169,59,5.1522,37211,22668,9250,45,28434,21721,31.293032884210422,0.06634092330932617,232.45380644798172,10568.735174654752,382.0,12809.199999999986,16.214189006228,6.0,31.0,651.333594753792,153.0,1466.0,0.016700271260927744,4.9114227294921875e-05,0.024623250961303467
rule_run09,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_09,1009,completed,2026-07-11T03:25:52.307948+02:00,900,900.1,8a1ef84052a2,0,18,18,0,0,0,16,2,1.0,0.0,0.8889,6,2.4355,0.0,0.4706,82514,65296805,65.3,903.251,3533,273,2.6398,69,5.0652,55686,26777,7967,46,48404,25631,23.96644816417516,0.06723213195800781,120.30528206825255,18480.997735635436,378.0,12782.399999999998,23.340786866685537,6.0,28.0,791.3421358799719,1162.5,1466.0,0.01094677313825812,2.7894973754882812e-05,0.014695405960082973
rule_run10,rule,C:\Users\juanc\Desktop\tfm\exp1\rule\run_10,1010,completed,2026-07-11T04:13:28.860781+02:00,900,968.1,8a1ef84052a2,1,15,15,0,0,0,13,2,1.0,0.0,0.8667,6,2.4402,0.0,0.5714,747837,765301430,765.3,971.191,4087,320,1.2107,76,5.3665,727610,20165,9901,690352,28137,18962,28.903502411558833,0.07622098922729492,162.98762838840486,187251.4719843406,385.0,12749.499999999998,182.96427697577684,6.0,29.0,1023.3532574611847,1466.0,1466.0,0.001298668515787492,2.288818359375e-05,0.00162506103515625
