idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T02:37:24.523432+02:00,rule_run08,rule,1008,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,24,63.12,,,,
2,2026-07-11T02:38:54.728373+02:00,rule_run08,rule,1008,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,22,5.88,,,,
3,2026-07-11T02:39:26.500954+02:00,rule_run08,rule,1008,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,18,36.78,,,,
4,2026-07-11T02:40:24.081985+02:00,rule_run08,rule,1008,revisar_correo,{},rule,ok,,fallo,ver session.log,10,51.98,,,,
5,2026-07-11T02:41:26.060611+02:00,rule_run08,rule,1008,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,11,58.42,,,,
6,2026-07-11T02:42:38.498081+02:00,rule_run08,rule,1008,usar_twitter,{},rule,ok,,ok,,9,13.22,,,,
7,2026-07-11T02:43:04.829843+02:00,rule_run08,rule,1008,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,12,106.03,,,,
8,2026-07-11T02:45:04.335368+02:00,rule_run08,rule,1008,ver_streaming,{},rule,ok,,ok,,11,34.93,,,,
9,2026-07-11T02:45:50.557447+02:00,rule_run08,rule,1008,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,19,92.84,,,,
10,2026-07-11T02:47:43.774013+02:00,rule_run08,rule,1008,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,8,5.97,,,,
11,2026-07-11T02:48:00.987716+02:00,rule_run08,rule,1008,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,25,34.2,,,,
12,2026-07-11T02:49:01.073529+02:00,rule_run08,rule,1008,revisar_correo,{},rule,ok,,fallo,ver session.log,18,51.45,,,,
13,2026-07-11T02:50:11.566628+02:00,rule_run08,rule,1008,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,16,74.42,,,,
14,2026-07-11T02:51:42.781735+02:00,rule_run08,rule,1008,usar_twitter,{},rule,ok,,ok,,15,13.55,,,,
15,2026-07-11T02:52:14.396746+02:00,rule_run08,rule,1008,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,23,103.11,,,,
