idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T21:01:37.510723+02:00,rule_run01,rule,1001,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,9,20.87,,,,
2,2026-07-10T21:02:11.251282+02:00,rule_run01,rule,1001,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,14,5.94,,,,
3,2026-07-10T21:02:32.760453+02:00,rule_run01,rule,1001,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,10,34.1,,,,
4,2026-07-10T21:03:18.606131+02:00,rule_run01,rule,1001,revisar_correo,{},rule,ok,,fallo,ver session.log,25,49.13,,,,
5,2026-07-10T21:04:35.376816+02:00,rule_run01,rule,1001,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,20,57.52,,,,
6,2026-07-10T21:05:53.476960+02:00,rule_run01,rule,1001,usar_twitter,{},rule,ok,,ok,,13,14.0,,,,
7,2026-07-10T21:06:23.629866+02:00,rule_run01,rule,1001,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,21,108.72,,,,
8,2026-07-10T21:08:36.036609+02:00,rule_run01,rule,1001,ver_streaming,{},rule,ok,,ok,,19,70.69,,,,
9,2026-07-10T21:10:07.933326+02:00,rule_run01,rule,1001,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,20,16.0,,,,
10,2026-07-10T21:10:46.383462+02:00,rule_run01,rule,1001,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,14,6.16,,,,
11,2026-07-10T21:11:07.181094+02:00,rule_run01,rule,1001,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,9,35.18,,,,
12,2026-07-10T21:11:53.004955+02:00,rule_run01,rule,1001,revisar_correo,{},rule,ok,,fallo,ver session.log,8,51.08,,,,
13,2026-07-10T21:12:53.357665+02:00,rule_run01,rule,1001,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,23,56.26,,,,
14,2026-07-10T21:14:15.928923+02:00,rule_run01,rule,1001,usar_twitter,{},rule,ok,,ok,,14,15.52,,,,
15,2026-07-10T21:14:49.096366+02:00,rule_run01,rule,1001,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,24,106.23,,,,
