idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T00:59:38.543982+02:00,rule_run06,rule,1006,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,19,14.89,,,,
2,2026-07-11T01:00:14.297252+02:00,rule_run06,rule,1006,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,9,6.06,,,,
3,2026-07-11T01:00:29.517555+02:00,rule_run06,rule,1006,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,15,35.26,,,,
4,2026-07-11T01:01:22.246089+02:00,rule_run06,rule,1006,revisar_correo,{},rule,ok,,fallo,ver session.log,22,50.53,,,,
5,2026-07-11T01:02:35.858503+02:00,rule_run06,rule,1006,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,8,53.48,,,,
6,2026-07-11T01:03:39.352757+02:00,rule_run06,rule,1006,usar_twitter,{},rule,ok,,ok,,14,15.12,,,,
7,2026-07-11T01:04:09.484466+02:00,rule_run06,rule,1006,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,18,105.08,,,,
8,2026-07-11T01:06:13.218305+02:00,rule_run06,rule,1006,ver_streaming,{},rule,ok,,ok,,8,69.77,,,,
9,2026-07-11T01:07:34.430388+02:00,rule_run06,rule,1006,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,14,92.32,,,,
10,2026-07-11T01:09:21.208111+02:00,rule_run06,rule,1006,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,24,6.09,,,,
11,2026-07-11T01:09:51.888892+02:00,rule_run06,rule,1006,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,17,33.75,,,,
12,2026-07-11T01:10:44.654534+02:00,rule_run06,rule,1006,revisar_correo,{},rule,ok,,fallo,ver session.log,12,50.36,,,,
13,2026-07-11T01:11:47.659079+02:00,rule_run06,rule,1006,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,10,53.09,,,,
14,2026-07-11T01:12:52.057714+02:00,rule_run06,rule,1006,usar_twitter,{},rule,ok,,ok,,20,15.11,,,,
15,2026-07-11T01:13:29.341177+02:00,rule_run06,rule,1006,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,8,102.94,,,,
