idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T00:44:02.622492+02:00,random_run06,random,1006,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,9,76.51,,,,
2,2026-07-11T00:45:30.293144+02:00,random_run06,random,1006,revisar_correo,{},random,ok,,fallo,ver session.log,8,51.46,,,,
3,2026-07-11T00:46:30.912540+02:00,random_run06,random,1006,buscar_google,"{""termino"": ""últimas noticias de IA""}",random,ok,,ok,,18,22.06,,,,
4,2026-07-11T00:47:12.203933+02:00,random_run06,random,1006,buscar_google,"{""termino"": ""ciberseguridad hoy""}",random,ok,,ok,,24,59.41,,,,
5,2026-07-11T00:48:38.107028+02:00,random_run06,random,1006,ver_streaming,{},random,ok,,ok,,12,34.12,,,,
6,2026-07-11T00:49:25.099252+02:00,random_run06,random,1006,usar_twitter,{},random,ok,,ok,,10,13.59,,,,
7,2026-07-11T00:49:50.447374+02:00,random_run06,random,1006,revisar_correo,{},random,ok,,fallo,ver session.log,8,52.31,,,,
8,2026-07-11T00:50:50.823675+02:00,random_run06,random,1006,mirar_youtube,"{""busqueda"": ""tutorial python""}",random,ok,,ok,,8,66.54,,,,
9,2026-07-11T00:52:07.869849+02:00,random_run06,random,1006,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",random,ok,,ok,,17,6.13,,,,
10,2026-07-11T00:52:33.182719+02:00,random_run06,random,1006,abrir_url,"{""url"": ""https://www.elmundo.es""}",random,ok,,ok,,16,6.27,,,,
11,2026-07-11T00:52:59.028202+02:00,random_run06,random,1006,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,10,4.58,,,,
12,2026-07-11T00:53:14.600322+02:00,random_run06,random,1006,revisar_correo,{},random,ok,,fallo,ver session.log,8,51.89,,,,
13,2026-07-11T00:54:14.831632+02:00,random_run06,random,1006,revisar_correo,{},random,ok,,fallo,ver session.log,20,51.93,,,,
14,2026-07-11T00:55:28.258614+02:00,random_run06,random,1006,revisar_correo,{},random,ok,,fallo,ver session.log,19,51.65,,,,
15,2026-07-11T00:56:40.581419+02:00,random_run06,random,1006,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",random,ok,,ok,,20,35.47,,,,
16,2026-07-11T00:57:40.493778+02:00,random_run06,random,1006,usar_twitter,{},random,ok,,ok,,21,13.95,,,,
17,2026-07-11T00:58:16.186589+02:00,random_run06,random,1006,ver_streaming,{},random,ok,,ok,,13,35.69,,,,
