idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T22:20:29.091171+02:00,random_run03,random,1003,revisar_correo,{},random,ok,,fallo,ver session.log,25,52.1,,,,
2,2026-07-10T22:21:49.300237+02:00,random_run03,random,1003,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,15,64.15,,,,
3,2026-07-10T22:23:09.122597+02:00,random_run03,random,1003,revisar_correo,{},random,ok,,fallo,ver session.log,22,52.15,,,,
4,2026-07-10T22:24:23.642251+02:00,random_run03,random,1003,usar_twitter,{},random,ok,,ok,,22,13.73,,,,
5,2026-07-10T22:25:03.851096+02:00,random_run03,random,1003,revisar_correo,{},random,ok,,fallo,ver session.log,8,51.8,,,,
6,2026-07-10T22:26:06.826644+02:00,random_run03,random,1003,ver_streaming,{},random,ok,,ok,,18,71.13,,,,
7,2026-07-10T22:27:37.227182+02:00,random_run03,random,1003,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,23,4.35,,,,
8,2026-07-10T22:28:05.416592+02:00,random_run03,random,1003,revisar_correo,{},random,ok,,fallo,ver session.log,24,51.92,,,,
9,2026-07-10T22:29:23.217922+02:00,random_run03,random,1003,abrir_url,"{""url"": ""https://www.elmundo.es""}",random,ok,,ok,,17,6.38,,,,
10,2026-07-10T22:29:47.504316+02:00,random_run03,random,1003,usar_twitter,{},random,ok,,ok,,24,13.81,,,,
11,2026-07-10T22:30:28.606527+02:00,random_run03,random,1003,ver_streaming,{},random,ok,,ok,,9,65.03,,,,
12,2026-07-10T22:31:45.576705+02:00,random_run03,random,1003,ver_streaming,{},random,ok,,ok,,15,59.01,,,,
13,2026-07-10T22:33:02.297162+02:00,random_run03,random,1003,ver_streaming,{},random,ok,,ok,,25,72.03,,,,
14,2026-07-10T22:34:42.637666+02:00,random_run03,random,1003,usar_twitter,{},random,ok,,ok,,9,13.43,,,,
15,2026-07-10T22:35:05.981072+02:00,random_run03,random,1003,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,15,72.87,,,,
