i,t_rel_s,url,status,bytes,latencia_s,error
1,0.0,https://www.wikipedia.org/,200,120361,0.289,
2,10.0,https://www.marca.com/,200,678185,0.505,
3,20.0,https://x.com/,200,77113,0.943,
4,30.0,https://www.amazon.es/,202,0,0.251,
5,40.0,https://mail.google.com/,200,938901,1.973,
6,50.0,https://www.wikipedia.org/,200,120361,0.382,
7,60.0,https://www.amazon.es/,202,0,0.122,
8,70.01,https://www.amazon.es/,202,0,0.141,
9,80.01,https://www.marca.com/,200,678185,0.455,
10,90.01,https://www.wikipedia.org/,200,120361,0.324,
11,100.01,https://www.elpais.com/,403,0,0.573,HTTPError
12,110.01,https://www.netflix.com/,ERR,0,2.418,IncompleteRead
13,120.01,https://www.amazon.es/,202,0,0.161,
14,130.01,https://mail.google.com/,200,938536,1.776,
15,140.01,https://www.youtube.com/,200,822893,0.703,
16,150.01,https://www.netflix.com/,ERR,0,2.371,IncompleteRead
17,160.01,https://www.google.com/,200,85130,0.341,
18,170.01,https://www.twitch.tv/,200,196782,1.256,
19,180.01,https://www.google.com/,200,85018,0.261,
20,190.01,https://www.marca.com/,200,678115,0.406,
21,200.01,https://www.marca.com/,200,678115,0.39,
22,210.01,https://x.com/,200,265403,0.491,
23,220.01,https://www.wikipedia.org/,200,120361,0.36,
24,230.02,https://www.elpais.com/,403,0,0.509,HTTPError
25,240.02,https://www.marca.com/,200,678234,0.429,
26,250.02,https://www.elpais.com/,403,0,0.471,HTTPError
27,260.02,https://www.google.com/,200,85080,0.279,
28,270.02,https://www.amazon.es/,202,0,0.147,
29,280.02,https://www.marca.com/,200,678234,0.391,
30,290.02,https://mail.google.com/,200,939088,2.026,
31,300.02,https://www.amazon.es/,202,0,0.16,
32,310.02,https://www.wikipedia.org/,200,120361,0.288,
33,320.02,https://www.amazon.es/,202,0,0.185,
34,330.02,https://x.com/,200,265403,0.508,
35,340.02,https://www.amazon.es/,202,0,0.179,
36,350.02,https://www.elpais.com/,200,461662,0.899,
37,360.03,https://www.netflix.com/,200,3215387,1.872,
38,370.03,https://www.youtube.com/,200,838433,0.627,
39,380.03,https://www.youtube.com/,200,842226,0.592,
40,390.03,https://www.netflix.com/,ERR,0,2.208,IncompleteRead
41,400.03,https://www.wikipedia.org/,200,120361,0.376,
42,410.03,https://www.elpais.com/,200,461662,0.767,
43,420.03,https://www.amazon.es/,200,2167,0.444,
44,430.03,https://x.com/,200,77113,0.395,
45,440.03,https://www.elpais.com/,403,0,0.573,HTTPError
46,450.03,https://www.netflix.com/,ERR,0,2.787,IncompleteRead
47,460.03,https://www.wikipedia.org/,200,120361,0.363,
48,470.03,https://www.netflix.com/,ERR,0,2.124,IncompleteRead
49,480.03,https://www.netflix.com/,ERR,0,2.093,IncompleteRead
50,490.03,https://x.com/,200,77113,0.379,
51,500.04,https://www.netflix.com/,ERR,0,2.744,IncompleteRead
52,510.04,https://www.netflix.com/,ERR,0,2.653,IncompleteRead
53,520.04,https://www.wikipedia.org/,200,120361,0.339,
54,530.04,https://x.com/,200,77113,0.489,
55,540.04,https://www.amazon.es/,202,0,0.142,
56,550.04,https://www.google.com/,200,85126,0.266,
57,560.04,https://www.netflix.com/,200,3215399,1.941,
58,570.04,https://www.twitch.tv/,200,196782,1.295,
59,580.04,https://x.com/,200,265403,0.444,
60,590.04,https://www.amazon.es/,200,2167,0.198,
61,600.04,https://mail.google.com/,200,939157,1.7,
62,610.04,https://www.google.com/,200,85042,0.213,
63,620.04,https://x.com/,200,265403,0.393,
64,630.04,https://www.amazon.es/,202,0,0.152,
65,640.05,https://www.netflix.com/,ERR,0,2.019,IncompleteRead
66,650.05,https://mail.google.com/,200,938767,1.711,
67,660.05,https://mail.google.com/,200,939037,1.749,
68,670.05,https://www.youtube.com/,200,824075,0.612,
69,680.05,https://www.amazon.es/,202,0,0.147,
70,690.05,https://www.wikipedia.org/,200,120361,0.296,
71,700.05,https://mail.google.com/,200,939016,1.586,
72,710.05,https://www.elpais.com/,403,0,0.566,HTTPError
73,720.05,https://mail.google.com/,200,938862,1.742,
74,730.05,https://www.wikipedia.org/,200,120361,0.329,
75,740.05,https://www.elpais.com/,403,0,0.474,HTTPError
76,750.05,https://www.marca.com/,200,683462,0.413,
77,760.05,https://www.marca.com/,200,683462,0.761,
78,770.05,https://x.com/,200,77113,0.414,
79,780.06,https://www.twitch.tv/,200,196782,1.292,
80,790.06,https://www.amazon.es/,202,0,0.101,
81,800.06,https://www.wikipedia.org/,200,120361,0.373,
82,810.06,https://mail.google.com/,200,938788,1.62,
83,820.06,https://www.elpais.com/,403,0,0.497,HTTPError
84,830.06,https://www.amazon.es/,202,0,0.121,
85,840.06,https://www.amazon.es/,202,0,0.139,
86,850.06,https://www.amazon.es/,202,0,0.139,
87,860.06,https://mail.google.com/,200,938895,1.805,
88,870.06,https://mail.google.com/,200,938305,1.82,
89,880.06,https://www.wikipedia.org/,200,120361,0.368,
90,890.06,https://www.marca.com/,200,683462,0.457,
