idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T20:45:14.262672+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",random,ok,,ok,,14,6.22,,,,
2,2026-07-10T20:45:38.191434+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,20,14.43,,,,
3,2026-07-10T20:46:12.901833+02:00,random_run01,random,1001,buscar_google,"{""termino"": ""mejores frameworks python 2025""}",random,ok,,ok,,21,94.74,,,,
4,2026-07-10T20:48:09.952885+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,20,14.36,,,,
5,2026-07-10T20:48:45.030088+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,14,14.23,,,,
6,2026-07-10T20:49:13.811616+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,9,12.97,,,,
7,2026-07-10T20:49:37.385229+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,23,6.54,,,,
8,2026-07-10T20:50:10.342676+02:00,random_run01,random,1001,ver_streaming,{},random,ok,,ok,,14,64.46,,,,
9,2026-07-10T20:51:29.417616+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,12,12.94,,,,
10,2026-07-10T20:51:55.264050+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.xataka.com""}",random,ok,,ok,,11,5.13,,,,
11,2026-07-10T20:52:15.864575+02:00,random_run01,random,1001,ver_streaming,{},random,ok,,ok,,12,66.53,,,,
12,2026-07-10T20:53:37.024658+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.xataka.com""}",random,ok,,ok,,16,4.45,,,,
13,2026-07-10T20:53:58.715644+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,10,12.51,,,,
14,2026-07-10T20:54:24.219225+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,25,12.2,,,,
15,2026-07-10T20:55:03.147608+02:00,random_run01,random,1001,revisar_correo,{},random,ok,,fallo,ver session.log,10,52.25,,,,
16,2026-07-10T20:56:09.159627+02:00,random_run01,random,1001,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,19,69.96,,,,
17,2026-07-10T20:57:40.741241+02:00,random_run01,random,1001,revisar_correo,{},random,ok,,fallo,ver session.log,9,51.31,,,,
18,2026-07-10T20:58:44.336615+02:00,random_run01,random,1001,buscar_google,"{""termino"": ""últimas noticias tecnología""}",random,ok,,ok,,11,18.21,,,,
19,2026-07-10T20:59:13.933284+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,21,4.59,,,,
20,2026-07-10T20:59:41.722927+02:00,random_run01,random,1001,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,14,73.25,,,,
