idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T23:24:51.365162+02:00,rule_run04,rule,1004,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,21,20.93,,,,
2,2026-07-10T23:25:35.865670+02:00,rule_run04,rule,1004,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,11,5.95,,,,
3,2026-07-10T23:25:54.317075+02:00,rule_run04,rule,1004,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,25,34.68,,,,
4,2026-07-10T23:26:58.207987+02:00,rule_run04,rule,1004,revisar_correo,{},rule,ok,,fallo,ver session.log,24,50.82,,,,
5,2026-07-10T23:28:13.949956+02:00,rule_run04,rule,1004,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,14,58.57,,,,
6,2026-07-10T23:29:28.444270+02:00,rule_run04,rule,1004,usar_twitter,{},rule,ok,,ok,,14,15.36,,,,
7,2026-07-10T23:29:59.707577+02:00,rule_run04,rule,1004,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,18,105.46,,,,
8,2026-07-10T23:32:05.546536+02:00,rule_run04,rule,1004,ver_streaming,{},rule,ok,,ok,,9,61.68,,,,
9,2026-07-10T23:33:16.633228+02:00,rule_run04,rule,1004,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,12,21.07,,,,
10,2026-07-10T23:33:53.096564+02:00,rule_run04,rule,1004,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,19,6.3,,,,
11,2026-07-10T23:34:20.969164+02:00,rule_run04,rule,1004,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,10,34.03,,,,
12,2026-07-10T23:35:09.112639+02:00,rule_run04,rule,1004,revisar_correo,{},rule,ok,,fallo,ver session.log,24,51.83,,,,
13,2026-07-10T23:36:26.760629+02:00,rule_run04,rule,1004,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,15,73.16,,,,
14,2026-07-10T23:37:56.032409+02:00,rule_run04,rule,1004,usar_twitter,{},rule,ok,,ok,,8,13.42,,,,
15,2026-07-10T23:38:21.613903+02:00,rule_run04,rule,1004,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,12,6.54,,,,
16,2026-07-10T23:38:41.231531+02:00,rule_run04,rule,1004,ver_streaming,{},rule,ok,,ok,,8,71.02,,,,
