idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T03:10:06.929975+02:00,random_run09,random,1009,buscar_google,"{""termino"": ""noticias tecnología""}",random,ok,,ok,,8,14.15,,,,
2,2026-07-11T03:10:30.156441+02:00,random_run09,random,1009,abrir_url,"{""url"": ""https://www.xataka.com""}",random,ok,,ok,,24,5.09,,,,
3,2026-07-11T03:11:00.721978+02:00,random_run09,random,1009,buscar_google,"{""termino"": ""últimas noticias tecnología""}",random,ok,,ok,,24,88.49,,,,
4,2026-07-11T03:12:56.110537+02:00,random_run09,random,1009,buscar_google,"{""termino"": ""tendencias ciberseguridad 2025""}",random,ok,,ok,,16,57.15,,,,
5,2026-07-11T03:14:11.952885+02:00,random_run09,random,1009,abrir_url,"{""url"": ""https://elpais.com""}",random,ok,,ok,,14,6.53,,,,
6,2026-07-11T03:14:34.888044+02:00,random_run09,random,1009,usar_twitter,{},random,ok,,ok,,10,13.66,,,,
7,2026-07-11T03:15:00.114910+02:00,random_run09,random,1009,ver_streaming,{},random,ok,,ok,,23,64.27,,,,
8,2026-07-11T03:16:31.100272+02:00,random_run09,random,1009,buscar_google,"{""termino"": ""tendencias ciberseguridad 2025""}",random,ok,,ok,,24,58.91,,,,
9,2026-07-11T03:17:57.631240+02:00,random_run09,random,1009,usar_twitter,{},random,ok,,ok,,18,15.71,,,,
10,2026-07-11T03:18:33.920498+02:00,random_run09,random,1009,revisar_correo,{},random,ok,,fallo,ver session.log,8,50.2,,,,
11,2026-07-11T03:19:34.180003+02:00,random_run09,random,1009,usar_twitter,{},random,ok,,ok,,12,15.62,,,,
12,2026-07-11T03:20:03.188382+02:00,random_run09,random,1009,usar_twitter,{},random,ok,,ok,,19,15.83,,,,
13,2026-07-11T03:20:40.145880+02:00,random_run09,random,1009,ver_streaming,{},random,ok,,ok,,12,69.25,,,,
14,2026-07-11T03:22:03.981147+02:00,random_run09,random,1009,buscar_google,"{""termino"": ""últimas noticias tecnología""}",random,ok,,ok,,22,18.2,,,,
15,2026-07-11T03:22:47.032488+02:00,random_run09,random,1009,revisar_correo,{},random,ok,,fallo,ver session.log,8,48.79,,,,
16,2026-07-11T03:23:44.095878+02:00,random_run09,random,1009,buscar_google,"{""termino"": ""noticias tecnología""}",random,ok,,ok,,22,99.07,,,,
