i,t_rel_s,url,status,bytes,latencia_s,error
1,0.0,https://mail.google.com/,200,939009,1.971,
2,10.0,https://www.elpais.com/,403,0,0.678,HTTPError
3,20.0,https://www.google.com/,200,85146,0.263,
4,30.0,https://www.google.com/,200,85076,0.272,
5,40.0,https://www.elpais.com/,403,0,0.466,HTTPError
6,50.0,https://www.netflix.com/,ERR,0,1.845,IncompleteRead
7,60.0,https://www.marca.com/,200,683731,0.47,
8,70.01,https://www.google.com/,200,85125,0.256,
9,80.01,https://www.google.com/,200,85108,0.303,
10,90.01,https://x.com/,200,77113,0.78,
11,100.01,https://www.amazon.es/,202,0,0.141,
12,110.01,https://www.google.com/,200,84967,0.265,
13,120.01,https://www.netflix.com/,ERR,0,2.271,IncompleteRead
14,130.01,https://www.amazon.es/,202,0,0.166,
15,140.01,https://www.elpais.com/,403,0,0.541,HTTPError
16,150.01,https://www.youtube.com/,200,839484,0.595,
17,160.01,https://www.twitch.tv/,200,196782,1.082,
18,170.01,https://www.elpais.com/,403,0,0.551,HTTPError
19,180.02,https://www.marca.com/,200,683652,0.526,
20,190.02,https://www.netflix.com/,200,3176792,2.075,
21,200.02,https://mail.google.com/,200,938935,1.894,
22,210.02,https://www.youtube.com/,200,821614,0.669,
23,220.02,https://www.youtube.com/,200,820248,0.629,
24,230.02,https://www.marca.com/,200,683649,0.494,
25,240.02,https://www.marca.com/,200,683649,0.511,
26,250.02,https://www.elpais.com/,200,462424,0.74,
27,260.02,https://www.amazon.es/,202,0,0.322,
28,270.02,https://www.amazon.es/,202,0,0.101,
29,280.02,https://www.twitch.tv/,200,196782,1.104,
30,290.02,https://www.google.com/,200,85117,0.297,
31,300.02,https://www.youtube.com/,200,823296,1.046,
32,310.02,https://www.amazon.es/,202,0,0.148,
33,320.03,https://mail.google.com/,200,939244,2.012,
34,330.03,https://www.elpais.com/,403,0,0.696,HTTPError
35,340.03,https://mail.google.com/,200,938764,1.908,
36,350.03,https://www.google.com/,200,85191,0.3,
37,360.03,https://www.elpais.com/,200,462077,0.825,
38,370.03,https://www.google.com/,200,85070,0.293,
39,380.03,https://www.netflix.com/,ERR,0,1.998,IncompleteRead
40,390.03,https://www.youtube.com/,200,816818,0.737,
41,400.03,https://www.google.com/,200,84985,0.309,
42,410.03,https://www.google.com/,200,85189,0.261,
43,420.03,https://www.netflix.com/,200,3176810,2.198,
44,430.03,https://x.com/,200,265403,0.448,
45,440.03,https://www.youtube.com/,200,836969,0.636,
46,450.03,https://www.google.com/,200,85180,0.268,
47,460.04,https://www.youtube.com/,200,820010,0.653,
48,470.04,https://www.marca.com/,200,672506,0.349,
49,480.04,https://www.twitch.tv/,200,196782,1.245,
50,490.04,https://www.google.com/,200,85135,0.238,
51,500.04,https://www.amazon.es/,202,0,0.155,
52,510.04,https://x.com/,200,265403,0.515,
53,520.04,https://www.amazon.es/,202,0,0.108,
54,530.04,https://x.com/,200,265403,0.557,
55,540.04,https://www.netflix.com/,ERR,0,2.248,IncompleteRead
56,550.04,https://www.google.com/,200,85102,0.264,
57,560.04,https://www.amazon.es/,202,0,0.169,
58,570.04,https://www.twitch.tv/,200,196782,1.239,
59,580.04,https://www.youtube.com/,200,824542,0.66,
60,590.05,https://www.amazon.es/,202,0,0.136,
61,600.05,https://www.google.com/,200,85097,0.27,
62,610.05,https://www.youtube.com/,200,820978,1.004,
63,620.05,https://x.com/,200,265403,0.502,
64,630.05,https://www.google.com/,200,85104,0.304,
65,640.05,https://www.amazon.es/,202,0,0.146,
66,650.05,https://mail.google.com/,200,939349,1.784,
67,660.05,https://www.twitch.tv/,200,196782,1.263,
68,670.05,https://www.marca.com/,200,671966,0.534,
69,680.05,https://www.wikipedia.org/,200,120361,0.35,
70,690.06,https://www.elpais.com/,200,462754,1.003,
71,700.06,https://x.com/,200,265403,0.435,
72,710.06,https://www.youtube.com/,200,821502,0.66,
73,720.06,https://mail.google.com/,200,937797,1.969,
74,730.06,https://www.netflix.com/,ERR,0,2.217,IncompleteRead
75,740.06,https://www.amazon.es/,202,0,0.15,
76,750.06,https://mail.google.com/,200,939441,1.701,
77,760.06,https://www.amazon.es/,202,0,0.17,
78,770.06,https://www.netflix.com/,ERR,0,1.889,IncompleteRead
79,780.06,https://www.twitch.tv/,200,196782,1.24,
80,790.06,https://www.google.com/,200,85011,0.272,
81,800.06,https://www.youtube.com/,200,822047,0.71,
82,810.06,https://www.netflix.com/,200,3215387,1.911,
83,820.06,https://www.netflix.com/,200,3215393,1.857,
84,830.06,https://www.wikipedia.org/,200,120361,0.432,
85,840.06,https://www.wikipedia.org/,200,120361,0.366,
86,850.07,https://www.youtube.com/,200,822805,0.851,
87,860.07,https://www.netflix.com/,ERR,0,2.336,IncompleteRead
88,870.07,https://www.youtube.com/,200,838978,0.64,
89,880.07,https://www.wikipedia.org/,200,120361,0.32,
90,890.07,https://www.google.com/,200,85002,0.293,
