source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
ours_admin,admin,admin_run01,admin_run01_259,IPv4,UDP,127.0.0.1,127.0.0.1,44845,53,1e-05,2,146,58,73.0,29.0,190650.181818,5528855.272727,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_260,IPv4,TCP,10.10.0.2,10.10.0.2,54264,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_261,IPv4,TCP,10.10.0.2,10.10.0.4,52836,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_262,IPv4,UDP,127.0.0.1,127.0.0.1,16423,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_263,IPv4,UDP,127.0.0.1,127.0.0.1,32235,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_264,IPv4,UDP,127.0.0.1,127.0.0.1,16567,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_265,IPv4,UDP,127.0.0.1,127.0.0.1,60938,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_266,IPv4,UDP,127.0.0.1,127.0.0.1,37222,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_267,IPv4,UDP,127.0.0.1,127.0.0.1,39090,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_268,IPv4,UDP,127.0.0.1,127.0.0.1,40354,53,1.6e-05,2,146,58,73.0,29.0,123361.882353,3577494.588235,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_269,IPv4,UDP,127.0.0.1,127.0.0.1,46414,53,5e-06,2,146,58,73.0,29.0,419430.4,12163481.6,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_270,IPv4,TCP,10.10.0.2,10.10.0.3,38944,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_271,IPv4,UDP,127.0.0.1,127.0.0.1,56505,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_272,IPv4,UDP,127.0.0.1,127.0.0.1,18466,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_273,IPv4,UDP,127.0.0.1,127.0.0.1,63402,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_274,IPv4,UDP,127.0.0.1,127.0.0.1,57975,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_275,IPv4,UDP,127.0.0.1,127.0.0.1,41621,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_276,IPv4,UDP,127.0.0.1,127.0.0.1,40544,53,0.0,1,94,50,94.0,50.0,0.0,0.0,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_277,IPv4,UDP,127.0.0.1,127.0.0.1,40950,53,2.1e-05,2,152,64,76.0,32.0,95325.090909,3050402.909091,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_278,IPv4,UDP,127.0.0.1,127.0.0.1,43798,53,1.2e-05,2,152,64,76.0,32.0,171196.081633,5478274.612245,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_279,IPv4,TCP,10.10.0.2,10.10.0.4,43146,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_280,IPv4,TCP,10.10.0.2,10.10.0.3,38948,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_281,IPv4,UDP,127.0.0.1,127.0.0.1,53791,53,2.7e-05,2,144,56,72.0,28.0,74235.469027,2078593.132743,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_282,IPv4,UDP,127.0.0.1,127.0.0.1,45719,53,1e-05,2,144,56,72.0,28.0,190650.181818,5338205.090909,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_283,IPv4,TCP,10.10.0.2,10.10.0.3,46984,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_284,IPv4,TCP,10.10.0.2,10.10.0.4,51002,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_285,IPv4,UDP,127.0.0.1,127.0.0.1,57643,53,2.7e-05,2,146,58,73.0,29.0,74898.285714,2172050.285714,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_286,IPv4,UDP,127.0.0.1,127.0.0.1,55167,53,0.000243,2,146,58,73.0,29.0,8240.282908,238968.204322,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_287,IPv4,TCP,10.10.0.2,10.10.0.4,40108,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_288,IPv4,UDP,127.0.0.1,127.0.0.1,60604,53,1.4e-05,2,152,64,76.0,32.0,147168.561404,4709393.964912,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_289,IPv4,UDP,127.0.0.1,127.0.0.1,54406,53,6e-06,2,152,64,76.0,32.0,335544.32,10737418.24,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_290,IPv4,TCP,10.10.0.2,10.10.0.2,50912,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_291,IPv4,TCP,10.10.0.2,10.10.0.4,40122,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_292,IPv4,TCP,10.10.0.2,10.10.0.3,51672,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
ours_admin,admin,admin_run01,admin_run01_293,IPv4,UDP,127.0.0.1,127.0.0.1,60692,53,2.2e-05,2,140,52,70.0,26.0,91180.521739,2370693.565217,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_294,IPv4,UDP,127.0.0.1,127.0.0.1,54603,53,1e-05,2,140,52,70.0,26.0,195083.906977,5072181.581395,0,0,0,0,0,0,DNS
ours_admin,admin,admin_run01,admin_run01_295,IPv4,TCP,10.10.0.2,10.10.0.4,40044,22,0.0,1,68,0,68.0,0.0,0.0,0.0,0,0,0,0,1,0,SSH
