source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
ours_gamer,gamer,gamer_run01,gamer_run01_135,IPv4,TCP,192.168.18.4,2.22.209.117,49160,443,90.077667,6,363,3,60.5,0.5,0.066609,0.033305,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_136,IPv4,TCP,192.168.18.4,2.22.209.117,51960,443,90.081702,6,363,3,60.5,0.5,0.066606,0.033303,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_137,IPv4,TCP,192.168.18.4,2.22.209.117,51958,443,90.103053,6,363,3,60.5,0.5,0.06659,0.033295,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_138,IPv4,TCP,192.168.18.4,2.22.209.117,51960,443,0.022347,3,186,24,62.0,8.0,134.246367,1073.970938,2,0,0,1,3,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_139,IPv4,TCP,192.168.18.4,2.22.209.117,51960,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_140,IPv4,TCP,192.168.18.4,2.22.209.117,49160,443,0.022684,3,186,24,62.0,8.0,132.25263,1058.021042,1,0,1,1,3,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_141,IPv4,TCP,192.168.18.4,2.22.209.117,51958,443,0.025837,3,186,24,62.0,8.0,116.112801,928.902407,2,0,0,1,3,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_142,IPv4,TCP,192.168.18.4,2.22.209.117,51958,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_143,IPv4,UDP,192.168.18.1,239.255.255.250,36558,1900,61.823171,8,1396,1060,174.5,132.5,0.129401,17.145675,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_144,IPv4,TCP,192.168.18.4,162.159.135.233,49163,443,90.075331,6,363,3,60.5,0.5,0.066611,0.033305,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_145,IPv4,TCP,192.168.18.4,162.159.135.233,49164,443,90.093615,6,363,3,60.5,0.5,0.066597,0.033299,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_146,IPv4,TCP,192.168.18.4,199.232.211.52,49161,443,90.07772,6,363,3,60.5,0.5,0.066609,0.033305,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_147,IPv4,TCP,192.168.18.4,199.232.215.52,51959,443,90.071042,6,363,3,60.5,0.5,0.066614,0.033307,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_148,IPv4,TCP,192.168.18.4,155.133.246.52,49152,27018,118.37733,153,35831,27569,234.19,180.19,1.292477,232.890876,0,0,0,82,153,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_149,IPv4,TCP,192.168.18.4,104.83.34.182,49162,443,90.053332,6,363,3,60.5,0.5,0.066627,0.033314,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_150,IPv4,TCP,192.168.18.4,199.232.211.52,52038,80,30.404565,31,25311,23621,816.484,761.968,1.019584,776.889915,2,2,0,11,30,0,HTTP
ours_gamer,gamer,gamer_run01,gamer_run01_151,IPv4,TCP,192.168.18.4,2.22.209.117,51965,443,90.075733,6,363,3,60.5,0.5,0.066611,0.033305,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_152,IPv4,TCP,192.168.18.4,2.22.209.117,49159,443,90.093178,6,363,3,60.5,0.5,0.066598,0.033299,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_153,IPv4,UDP,192.168.18.4,185.25.182.51,53104,27019,91.072753,6,321,69,53.5,11.5,0.065881,0.757636,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_154,IPv4,UDP,192.168.18.4,192.168.18.1,63711,53,105.715959,14,1532,944,109.429,67.429,0.13243,8.929588,0,0,0,0,0,0,DNS
ours_gamer,gamer,gamer_run01,gamer_run01_155,IPv4,TCP,192.168.18.4,162.159.128.235,51967,443,90.082021,6,363,3,60.5,0.5,0.066606,0.033303,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_156,IPv4,UDP,192.168.18.4,162.254.196.70,53105,27060,0.051784,2,2684,2600,1342.0,1300.0,38.622117,50208.752423,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_157,IPv4,UDP,192.168.18.4,155.133.248.37,53099,27032,0.052785,2,2684,2600,1342.0,1300.0,37.88961,49256.492439,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_158,IPv4,UDP,192.168.18.4,162.254.197.42,64864,27042,0.056343,2,2684,2600,1342.0,1300.0,35.496818,46145.863236,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_159,IPv4,UDP,192.168.18.4,146.66.155.72,64869,27051,0.057602,2,2684,2600,1342.0,1300.0,34.72106,45137.377483,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_160,IPv4,UDP,192.168.18.4,172.255.8.172,53100,27019,0.057634,2,2684,2600,1342.0,1300.0,34.701813,45112.356557,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_161,IPv4,UDP,192.168.18.4,155.133.252.84,53095,27015,0.067022,2,2684,2600,1342.0,1300.0,29.84091,38793.182764,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_162,IPv4,UDP,192.168.18.4,162.254.198.42,53101,27030,0.068475,2,2684,2600,1342.0,1300.0,29.207737,37970.057624,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_163,IPv4,UDP,192.168.18.4,155.133.230.102,53102,27019,0.072173,2,2684,2600,1342.0,1300.0,27.711148,36024.492924,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_164,IPv4,UDP,192.168.18.4,162.254.193.98,64865,27159,0.105492,2,2684,2600,1342.0,1300.0,18.958763,24646.391813,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_165,IPv4,UDP,192.168.18.4,162.254.192.124,53108,27046,0.121304,2,2684,2600,1342.0,1300.0,16.487498,21433.746998,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_166,IPv4,UDP,192.168.18.4,162.254.199.170,53107,27187,0.142337,2,2684,2600,1342.0,1300.0,14.051176,18266.528197,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_167,IPv4,UDP,192.168.18.4,162.254.194.38,53106,27092,0.1533,2,2684,2600,1342.0,1300.0,13.046331,16960.229927,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_168,IPv4,UDP,192.168.18.4,185.25.183.179,53091,27043,0.169924,2,2684,2600,1342.0,1300.0,11.769966,15300.956205,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_169,IPv4,UDP,192.168.18.4,205.196.6.135,53110,27047,0.163605,2,2684,2600,1342.0,1300.0,12.224567,15891.937296,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_170,IPv4,UDP,192.168.18.4,155.133.224.20,53112,27046,0.220967,2,2684,2600,1342.0,1300.0,9.051123,11766.45997,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_171,IPv4,UDP,192.168.18.4,155.133.244.51,53111,27047,0.183256,2,2684,2600,1342.0,1300.0,10.9137,14187.809755,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_172,IPv4,UDP,192.168.18.4,162.254.195.72,53109,27049,0.185218,2,2684,2600,1342.0,1300.0,10.798081,14037.505294,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_173,IPv4,UDP,192.168.18.4,155.133.225.19,64844,27072,0.195668,2,2684,2600,1342.0,1300.0,10.221396,13287.815268,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_174,IPv4,UDP,192.168.18.4,155.133.227.51,53094,27022,0.211359,2,2684,2600,1342.0,1300.0,9.462572,12301.343705,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_175,IPv4,UDP,192.168.18.4,155.133.238.194,53093,27018,0.206964,2,2684,2600,1342.0,1300.0,9.663516,12562.5703,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_176,IPv4,UDP,192.168.18.4,103.28.54.189,53092,27022,0.217079,2,2684,2600,1342.0,1300.0,9.213239,11977.210638,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_177,IPv4,UDP,192.168.18.4,103.10.124.119,53089,27055,0.217873,2,2684,2600,1342.0,1300.0,9.179656,11933.552339,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_178,IPv4,UDP,192.168.18.4,103.10.125.41,53088,27159,0.28949,2,2684,2600,1342.0,1300.0,6.908702,8981.312443,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_179,IPv4,TCP,192.168.18.4,199.232.215.52,52039,80,30.433838,21,15991,14841,761.476,706.714,0.690021,487.647994,2,2,0,7,20,0,HTTP
ours_gamer,gamer,gamer_run01,gamer_run01_180,IPv4,TCP,192.168.18.4,162.159.135.233,49163,443,84.821615,8,497,41,62.125,5.125,0.094316,0.483367,2,0,0,1,8,0,HTTPS
