idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T22:36:56.922970+02:00,rule_run03,rule,1003,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,23,13.08,,,,
2,2026-07-10T22:37:35.444516+02:00,rule_run03,rule,1003,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,25,5.96,,,,
3,2026-07-10T22:38:08.954557+02:00,rule_run03,rule,1003,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,19,33.2,,,,
4,2026-07-10T22:39:05.973002+02:00,rule_run03,rule,1003,revisar_correo,{},rule,ok,,fallo,ver session.log,15,51.22,,,,
5,2026-07-10T22:40:14.308195+02:00,rule_run03,rule,1003,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,22,61.56,,,,
6,2026-07-10T22:41:39.186765+02:00,rule_run03,rule,1003,usar_twitter,{},rule,ok,,ok,,22,14.55,,,,
7,2026-07-10T22:42:16.659946+02:00,rule_run03,rule,1003,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,25,105.63,,,,
8,2026-07-10T22:44:30.937716+02:00,rule_run03,rule,1003,ver_streaming,{},rule,ok,,ok,,22,71.31,,,,
9,2026-07-10T22:46:04.859214+02:00,rule_run03,rule,1003,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,20,25.74,,,,
10,2026-07-10T22:46:51.759528+02:00,rule_run03,rule,1003,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,8,5.85,,,,
11,2026-07-10T22:47:09.959875+02:00,rule_run03,rule,1003,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,18,36.55,,,,
12,2026-07-10T22:48:06.061372+02:00,rule_run03,rule,1003,revisar_correo,{},rule,ok,,fallo,ver session.log,10,51.08,,,,
13,2026-07-10T22:49:08.301270+02:00,rule_run03,rule,1003,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,23,76.26,,,,
14,2026-07-10T22:50:49.259019+02:00,rule_run03,rule,1003,usar_twitter,{},rule,ok,,ok,,24,15.02,,,,
15,2026-07-10T22:51:31.248707+02:00,rule_run03,rule,1003,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,22,102.08,,,,
