idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T02:19:59.056526+02:00,random_run08,random,1008,usar_twitter,{},random,ok,,ok,,22,16.35,,,,
2,2026-07-11T02:20:38.789755+02:00,random_run08,random,1008,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,10,68.05,,,,
3,2026-07-11T02:21:56.993323+02:00,random_run08,random,1008,abrir_url,"{""url"": ""https://elpais.com""}",random,ok,,ok,,9,107.0,,,,
4,2026-07-11T02:23:54.276468+02:00,random_run08,random,1008,ver_streaming,{},random,ok,,ok,,11,71.19,,,,
5,2026-07-11T02:25:16.908157+02:00,random_run08,random,1008,usar_twitter,{},random,ok,,ok,,19,15.67,,,,
6,2026-07-11T02:25:53.979768+02:00,random_run08,random,1008,ver_streaming,{},random,ok,,ok,,8,60.42,,,,
7,2026-07-11T02:27:05.972923+02:00,random_run08,random,1008,usar_twitter,{},random,ok,,ok,,18,15.61,,,,
8,2026-07-11T02:27:42.099497+02:00,random_run08,random,1008,mirar_youtube,"{""busqueda"": ""programación en vivo""}",random,ok,,ok,,15,59.43,,,,
9,2026-07-11T02:28:58.235285+02:00,random_run08,random,1008,buscar_google,"{""termino"": ""últimas noticias de IA""}",random,ok,,ok,,25,20.37,,,,
10,2026-07-11T02:29:44.327274+02:00,random_run08,random,1008,buscar_google,"{""termino"": ""tendencias ciberseguridad 2025""}",random,ok,,ok,,12,61.3,,,,
11,2026-07-11T02:30:59.395613+02:00,random_run08,random,1008,buscar_google,"{""termino"": ""mejores frameworks python 2025""}",random,ok,,ok,,20,93.33,,,,
12,2026-07-11T02:32:53.756439+02:00,random_run08,random,1008,abrir_url,"{""url"": ""https://elpais.com""}",random,ok,,ok,,11,104.74,,,,
13,2026-07-11T02:34:51.243157+02:00,random_run08,random,1008,buscar_google,"{""termino"": ""últimas noticias tecnología""}",random,ok,,ok,,19,113.46,,,,
