idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T04:13:38.747193+02:00,rule_run10,rule,1010,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,15,88.3,,,,
2,2026-07-11T04:15:24.413965+02:00,rule_run10,rule,1010,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,25,6.61,,,,
3,2026-07-11T04:15:58.810127+02:00,rule_run10,rule,1010,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,10,34.67,,,,
4,2026-07-11T04:16:43.913997+02:00,rule_run10,rule,1010,revisar_correo,{},rule,ok,,fallo,ver session.log,21,52.59,,,,
5,2026-07-11T04:18:00.297181+02:00,rule_run10,rule,1010,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,21,54.06,,,,
6,2026-07-11T04:19:18.516817+02:00,rule_run10,rule,1010,usar_twitter,{},rule,ok,,ok,,21,13.35,,,,
7,2026-07-11T04:19:55.424485+02:00,rule_run10,rule,1010,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,13,6.55,,,,
8,2026-07-11T04:20:18.354276+02:00,rule_run10,rule,1010,ver_streaming,{},rule,ok,,ok,,12,61.18,,,,
9,2026-07-11T04:21:33.984601+02:00,rule_run10,rule,1010,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,21,79.27,,,,
10,2026-07-11T04:23:16.802770+02:00,rule_run10,rule,1010,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,14,6.09,,,,
11,2026-07-11T04:23:41.128800+02:00,rule_run10,rule,1010,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,11,33.47,,,,
12,2026-07-11T04:24:27.229207+02:00,rule_run10,rule,1010,revisar_correo,{},rule,ok,,fallo,ver session.log,24,56.4,,,,
13,2026-07-11T04:25:50.187150+02:00,rule_run10,rule,1010,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,24,62.87,,,,
14,2026-07-11T04:27:19.843302+02:00,rule_run10,rule,1010,usar_twitter,{},rule,ok,,ok,,19,14.68,,,,
15,2026-07-11T04:27:55.042241+02:00,rule_run10,rule,1010,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,16,105.67,,,,
