idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T03:26:01.543409+02:00,rule_run09,rule,1009,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,13,18.4,,,,
2,2026-07-11T03:26:34.435165+02:00,rule_run09,rule,1009,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,8,5.91,,,,
3,2026-07-11T03:26:50.810883+02:00,rule_run09,rule,1009,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,23,35.98,,,,
4,2026-07-11T03:27:51.670934+02:00,rule_run09,rule,1009,revisar_correo,{},rule,ok,,fallo,ver session.log,10,49.02,,,,
5,2026-07-11T03:28:53.504027+02:00,rule_run09,rule,1009,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,24,58.06,,,,
6,2026-07-11T03:30:17.665416+02:00,rule_run09,rule,1009,usar_twitter,{},rule,ok,,ok,,23,16.08,,,,
7,2026-07-11T03:30:57.266132+02:00,rule_run09,rule,1009,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,13,6.51,,,,
8,2026-07-11T03:31:17.713968+02:00,rule_run09,rule,1009,ver_streaming,{},rule,ok,,ok,,24,60.35,,,,
9,2026-07-11T03:32:43.825409+02:00,rule_run09,rule,1009,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,15,15.11,,,,
10,2026-07-11T03:33:13.995549+02:00,rule_run09,rule,1009,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,14,6.01,,,,
11,2026-07-11T03:33:35.598833+02:00,rule_run09,rule,1009,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,16,34.25,,,,
12,2026-07-11T03:34:28.270115+02:00,rule_run09,rule,1009,revisar_correo,{},rule,ok,,fallo,ver session.log,10,51.19,,,,
13,2026-07-11T03:35:31.594677+02:00,rule_run09,rule,1009,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,9,52.05,,,,
14,2026-07-11T03:36:37.036529+02:00,rule_run09,rule,1009,usar_twitter,{},rule,ok,,ok,,14,16.48,,,,
15,2026-07-11T03:37:09.978067+02:00,rule_run09,rule,1009,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,14,6.49,,,,
16,2026-07-11T03:37:34.132935+02:00,rule_run09,rule,1009,ver_streaming,{},rule,ok,,ok,,10,67.41,,,,
17,2026-07-11T03:38:53.279773+02:00,rule_run09,rule,1009,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,23,90.59,,,,
18,2026-07-11T03:40:49.923925+02:00,rule_run09,rule,1009,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,13,6.27,,,,
