idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T23:56:57.848650+02:00,random_run05,random,1005,revisar_correo,{},random,ok,,fallo,ver session.log,20,51.18,,,,
2,2026-07-10T23:58:11.102764+02:00,random_run05,random,1005,usar_twitter,{},random,ok,,ok,,21,15.22,,,,
3,2026-07-10T23:58:50.007446+02:00,random_run05,random,1005,usar_twitter,{},random,ok,,ok,,17,15.03,,,,
4,2026-07-10T23:59:23.767205+02:00,random_run05,random,1005,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,25,73.16,,,,
5,2026-07-11T00:01:02.102522+02:00,random_run05,random,1005,buscar_google,"{""termino"": ""tendencias ciberseguridad 2025""}",random,ok,,ok,,23,60.27,,,,
6,2026-07-11T00:02:26.632268+02:00,random_run05,random,1005,usar_twitter,{},random,ok,,ok,,18,13.68,,,,
7,2026-07-11T00:03:02.212323+02:00,random_run05,random,1005,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",random,ok,,ok,,14,35.8,,,,
8,2026-07-11T00:03:53.416221+02:00,random_run05,random,1005,ver_streaming,{},random,ok,,ok,,9,63.14,,,,
9,2026-07-11T00:05:06.978766+02:00,random_run05,random,1005,mirar_youtube,"{""busqueda"": ""tutorial python""}",random,ok,,ok,,9,68.95,,,,
10,2026-07-11T00:06:26.583536+02:00,random_run05,random,1005,revisar_correo,{},random,ok,,fallo,ver session.log,11,50.58,,,,
11,2026-07-11T00:07:28.663135+02:00,random_run05,random,1005,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",random,ok,,ok,,15,35.45,,,,
12,2026-07-11T00:08:22.116539+02:00,random_run05,random,1005,mirar_youtube,"{""busqueda"": ""programación en vivo""}",random,ok,,ok,,11,64.99,,,,
13,2026-07-11T00:09:41.083334+02:00,random_run05,random,1005,buscar_google,"{""termino"": ""mejores frameworks python 2025""}",random,ok,,ok,,20,104.35,,,,
14,2026-07-11T00:11:47.273243+02:00,random_run05,random,1005,ver_streaming,{},random,ok,,ok,,25,34.18,,,,
