idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-11T00:12:56.325494+02:00,rule_run05,rule,1005,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,23,18.1,,,,
2,2026-07-11T00:13:39.532966+02:00,rule_run05,rule,1005,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,20,5.87,,,,
3,2026-07-11T00:14:06.778590+02:00,rule_run05,rule,1005,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,25,34.58,,,,
4,2026-07-11T00:15:07.079381+02:00,rule_run05,rule,1005,revisar_correo,{},rule,ok,,fallo,ver session.log,21,54.05,,,,
5,2026-07-11T00:16:22.138203+02:00,rule_run05,rule,1005,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,17,57.82,,,,
6,2026-07-11T00:17:39.416191+02:00,rule_run05,rule,1005,usar_twitter,{},rule,ok,,ok,,19,12.61,,,,
7,2026-07-11T00:18:14.582184+02:00,rule_run05,rule,1005,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,25,108.61,,,,
8,2026-07-11T00:20:28.577252+02:00,rule_run05,rule,1005,ver_streaming,{},rule,ok,,ok,,13,59.32,,,,
9,2026-07-11T00:21:42.355931+02:00,rule_run05,rule,1005,buscar_google,"{""termino"": ""últimas noticias tecnología""}",rule,ok,,ok,,23,13.78,,,,
10,2026-07-11T00:22:20.581086+02:00,rule_run05,rule,1005,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",rule,ok,,ok,,11,5.88,,,,
11,2026-07-11T00:22:38.536596+02:00,rule_run05,rule,1005,mirar_youtube,"{""busqueda"": ""noticias tecnología""}",rule,ok,,ok,,18,37.13,,,,
12,2026-07-11T00:23:36.871516+02:00,rule_run05,rule,1005,revisar_correo,{},rule,ok,,fallo,ver session.log,19,52.25,,,,
13,2026-07-11T00:24:49.496066+02:00,rule_run05,rule,1005,buscar_google,"{""termino"": ""ciberseguridad hoy""}",rule,ok,,ok,,14,49.25,,,,
14,2026-07-11T00:25:54.468845+02:00,rule_run05,rule,1005,usar_twitter,{},rule,ok,,ok,,9,12.42,,,,
15,2026-07-11T00:26:17.156697+02:00,rule_run05,rule,1005,abrir_url,"{""url"": ""https://elpais.com""}",rule,ok,,ok,,9,104.3,,,,
