idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s,llm_model,llm_temperature,llm_prompt,llm_respuesta
1,2026-07-10T21:33:01.139850+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,21,16.13,,,,
2,2026-07-10T21:33:40.779378+02:00,random_run02,random,1002,buscar_google,"{""termino"": ""python asyncio tutorial""}",random,ok,,ok,,12,62.01,,,,
3,2026-07-10T21:34:57.205252+02:00,random_run02,random,1002,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,23,71.82,,,,
4,2026-07-10T21:36:32.890632+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,10,70.63,,,,
5,2026-07-10T21:37:55.215159+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,21,72.55,,,,
6,2026-07-10T21:39:30.323387+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,9,15.54,,,,
7,2026-07-10T21:39:56.743758+02:00,random_run02,random,1002,buscar_google,"{""termino"": ""últimas noticias de IA""}",random,ok,,ok,,15,59.65,,,,
8,2026-07-10T21:41:14.557617+02:00,random_run02,random,1002,revisar_correo,{},random,ok,,fallo,ver session.log,8,49.08,,,,
9,2026-07-10T21:42:13.909315+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,25,14.47,,,,
10,2026-07-10T21:42:56.400224+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,12,66.36,,,,
11,2026-07-10T21:44:17.983586+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,13,14.17,,,,
12,2026-07-10T21:44:47.534995+02:00,random_run02,random,1002,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,22,60.51,,,,
13,2026-07-10T21:46:13.380471+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,16,72.06,,,,
14,2026-07-10T21:47:41.640172+02:00,random_run02,random,1002,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,24,4.62,,,,
